kd_store,section,kd_section,kd_variant,plano_group_final,brand,category_a,category_b,period_flag,trans_a,trans_a_pm,trans_b,trans_b_pm,trans_ab,trans_ab_pm,qty_a,qty_b,qty_ab
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,CAMEL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2414 - SPM (SIGARET PUTIH MESIN),BEFORE,67,33.50,75,37.50,1,0.50,79,94,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,CAMEL,2414 - SPM (SIGARET PUTIH MESIN),2412 - SKM (SIGARET KRETEK MESIN) LTLN,BEFORE,75,37.50,67,33.50,1,0.50,94,79,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,DJARUM,2411 - SKT (SIGARET KRETEK TANGAN),2412 - SKM (SIGARET KRETEK MESIN) LTLN,AFTER,63,21.00,40,13.33,2,0.67,74,44,3
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,DJARUM,2411 - SKT (SIGARET KRETEK TANGAN),2413 - SKM (SIGARET KRETEK MESIN) FF,AFTER,63,21.00,23,7.67,1,0.33,74,27,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,DJARUM,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2411 - SKT (SIGARET KRETEK TANGAN),AFTER,40,13.33,63,21.00,2,0.67,44,74,2
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,DJARUM,2413 - SKM (SIGARET KRETEK MESIN) FF,2411 - SKT (SIGARET KRETEK TANGAN),AFTER,23,7.67,63,21.00,1,0.33,27,74,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,DJI SAM SOE,2411 - SKT (SIGARET KRETEK TANGAN),2413 - SKM (SIGARET KRETEK MESIN) FF,BEFORE,74,37.00,20,10.00,1,0.50,88,21,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,DJI SAM SOE,2413 - SKM (SIGARET KRETEK MESIN) FF,2411 - SKT (SIGARET KRETEK TANGAN),BEFORE,20,10.00,74,37.00,1,0.50,21,88,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,SAMPOERNA,2411 - SKT (SIGARET KRETEK TANGAN),2412 - SKM (SIGARET KRETEK MESIN) LTLN,AFTER,28,9.33,116,38.67,4,1.33,36,149,4
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,SAMPOERNA,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2411 - SKT (SIGARET KRETEK TANGAN),AFTER,116,38.67,28,9.33,4,1.33,149,36,4
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,ALFAMART,6111 - PACK EGG (NEGERI),6121 - PACK EGG (KAMPUNG),BEFORE,33,16.50,21,10.50,2,1.00,234,168,12
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,ALFAMART,6121 - PACK EGG (KAMPUNG),6111 - PACK EGG (NEGERI),BEFORE,21,10.50,33,16.50,2,1.00,168,234,12
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,AQUA,1113 - MINERAL WATER,1119 - MINERAL WATER GALON,BEFORE,9,4.50,784,392.00,1,0.50,10,1185,1
1ML5,BCTB (FLOOR),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,AQUA,1119 - MINERAL WATER GALON,1113 - MINERAL WATER,BEFORE,784,392.00,9,4.50,1,0.50,1185,10,2
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,BISKIES,2223 - CRACKER BISCUIT,2226 - SANDWICH BISCUIT,AFTER,4,1.33,13,4.33,1,0.33,6,15,1
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,BISKIES,2226 - SANDWICH BISCUIT,2223 - CRACKER BISCUIT,AFTER,13,4.33,4,1.33,1,0.33,15,6,2
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,HATARI,2223 - CRACKER BISCUIT,2226 - SANDWICH BISCUIT,AFTER,19,6.33,5,1.67,1,0.33,22,5,2
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,HATARI,2226 - SANDWICH BISCUIT,2223 - CRACKER BISCUIT,AFTER,5,1.67,19,6.33,1,0.33,5,22,1
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,KHONG GUAN,2221 - CAN BISCUIT,2222 - COOKIES BISCUIT,AFTER,7,2.33,4,1.33,1,0.33,7,4,1
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,KHONG GUAN,2222 - COOKIES BISCUIT,2221 - CAN BISCUIT,AFTER,4,1.33,7,2.33,1,0.33,4,7,1
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,KHONG GUAN,2222 - COOKIES BISCUIT,2223 - CRACKER BISCUIT,AFTER,4,1.33,22,7.33,1,0.33,4,22,1
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,KHONG GUAN,2223 - CRACKER BISCUIT,2222 - COOKIES BISCUIT,AFTER,22,7.33,4,1.33,1,0.33,22,4,1
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,NISSIN,2222 - COOKIES BISCUIT,2223 - CRACKER BISCUIT,AFTER,62,20.67,16,5.33,2,0.67,67,16,2
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,NISSIN,2222 - COOKIES BISCUIT,2227 - WAFER BISCUIT,AFTER,62,20.67,7,2.33,1,0.33,67,7,1
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,NISSIN,2223 - CRACKER BISCUIT,2222 - COOKIES BISCUIT,AFTER,16,5.33,62,20.67,2,0.67,16,67,2
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,NISSIN,2227 - WAFER BISCUIT,2222 - COOKIES BISCUIT,AFTER,7,2.33,62,20.67,1,0.33,7,67,1
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,NYAM-NYAM,2226 - SANDWICH BISCUIT,2228 - STICK BISCUIT,AFTER,15,5.00,52,17.33,2,0.67,18,64,2
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,NYAM-NYAM,2228 - STICK BISCUIT,2226 - SANDWICH BISCUIT,AFTER,52,17.33,15,5.00,2,0.67,64,18,2
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,ROMA,2222 - COOKIES BISCUIT,2226 - SANDWICH BISCUIT,AFTER,27,9.00,50,16.67,2,0.67,33,58,4
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,ROMA,2223 - CRACKER BISCUIT,2224 - MARIE BISCUIT,AFTER,36,12.00,54,18.00,3,1.00,41,56,4
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,ROMA,2223 - CRACKER BISCUIT,2226 - SANDWICH BISCUIT,AFTER,36,12.00,50,16.67,5,1.67,41,58,7
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,ROMA,2224 - MARIE BISCUIT,2223 - CRACKER BISCUIT,AFTER,54,18.00,36,12.00,3,1.00,56,41,3
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,ROMA,2224 - MARIE BISCUIT,2226 - SANDWICH BISCUIT,AFTER,54,18.00,50,16.67,1,0.33,56,58,1
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,ROMA,2226 - SANDWICH BISCUIT,2222 - COOKIES BISCUIT,AFTER,50,16.67,27,9.00,2,0.67,58,33,6
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,ROMA,2226 - SANDWICH BISCUIT,2223 - CRACKER BISCUIT,AFTER,50,16.67,36,12.00,5,1.67,58,41,5
1ML5,BISC & CONFECTIONARY,DA,DAM,AFTER_V1,ROMA,2226 - SANDWICH BISCUIT,2224 - MARIE BISCUIT,AFTER,50,16.67,54,18.00,1,0.33,58,56,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,BISKIES,2223 - CRACKER BISCUIT,2226 - SANDWICH BISCUIT,BEFORE,10,5.00,49,24.50,2,1.00,10,55,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,BISKIES,2226 - SANDWICH BISCUIT,2223 - CRACKER BISCUIT,BEFORE,49,24.50,10,5.00,2,1.00,55,10,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,BISKUAT,2222 - COOKIES BISCUIT,2226 - SANDWICH BISCUIT,BEFORE,62,31.00,22,11.00,2,1.00,72,24,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,BISKUAT,2226 - SANDWICH BISCUIT,2222 - COOKIES BISCUIT,BEFORE,22,11.00,62,31.00,2,1.00,24,72,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,HATARI,2223 - CRACKER BISCUIT,2226 - SANDWICH BISCUIT,BEFORE,62,31.00,11,5.50,1,0.50,67,11,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,HATARI,2226 - SANDWICH BISCUIT,2223 - CRACKER BISCUIT,BEFORE,11,5.50,62,31.00,1,0.50,11,67,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,KHONG GUAN,2222 - COOKIES BISCUIT,2223 - CRACKER BISCUIT,BEFORE,7,3.50,38,19.00,1,0.50,7,40,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,KHONG GUAN,2223 - CRACKER BISCUIT,2222 - COOKIES BISCUIT,BEFORE,38,19.00,7,3.50,1,0.50,40,7,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,KHONG GUAN,2223 - CRACKER BISCUIT,2226 - SANDWICH BISCUIT,BEFORE,38,19.00,34,17.00,2,1.00,40,34,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,KHONG GUAN,2226 - SANDWICH BISCUIT,2223 - CRACKER BISCUIT,BEFORE,34,17.00,38,19.00,2,1.00,34,40,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,KOKOLA,2222 - COOKIES BISCUIT,2223 - CRACKER BISCUIT,BEFORE,15,7.50,6,3.00,1,0.50,16,6,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,KOKOLA,2223 - CRACKER BISCUIT,2222 - COOKIES BISCUIT,BEFORE,6,3.00,15,7.50,1,0.50,6,16,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,MONDE,2222 - COOKIES BISCUIT,2225 - PIE BISCUIT,BEFORE,39,19.50,24,12.00,2,1.00,46,27,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,MONDE,2225 - PIE BISCUIT,2222 - COOKIES BISCUIT,BEFORE,24,12.00,39,19.50,2,1.00,27,46,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,NABATI,2227 - WAFER BISCUIT,2331 - ENROBED CHOCOLATE,BEFORE,17,8.50,5,2.50,1,0.50,22,5,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,NABATI,2331 - ENROBED CHOCOLATE,2227 - WAFER BISCUIT,BEFORE,5,2.50,17,8.50,1,0.50,5,22,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,NISSIN,2221 - CAN BISCUIT,2222 - COOKIES BISCUIT,BEFORE,3,1.50,114,57.00,1,0.50,3,133,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,NISSIN,2222 - COOKIES BISCUIT,2221 - CAN BISCUIT,BEFORE,114,57.00,3,1.50,1,0.50,133,3,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,NISSIN,2222 - COOKIES BISCUIT,2223 - CRACKER BISCUIT,BEFORE,114,57.00,35,17.50,1,0.50,133,37,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,NISSIN,2223 - CRACKER BISCUIT,2222 - COOKIES BISCUIT,BEFORE,35,17.50,114,57.00,1,0.50,37,133,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,NYAM-NYAM,2226 - SANDWICH BISCUIT,2228 - STICK BISCUIT,BEFORE,9,4.50,68,34.00,2,1.00,9,127,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,NYAM-NYAM,2228 - STICK BISCUIT,2226 - SANDWICH BISCUIT,BEFORE,68,34.00,9,4.50,2,1.00,127,9,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,OREO,2226 - SANDWICH BISCUIT,2229 - SOFT CAKE,BEFORE,175,87.50,11,5.50,4,2.00,233,11,4
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,OREO,2229 - SOFT CAKE,2226 - SANDWICH BISCUIT,BEFORE,11,5.50,175,87.50,4,2.00,11,233,4
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2222 - COOKIES BISCUIT,2223 - CRACKER BISCUIT,BEFORE,81,40.50,125,62.50,10,5.00,89,174,10
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2222 - COOKIES BISCUIT,2224 - MARIE BISCUIT,BEFORE,81,40.50,45,22.50,4,2.00,89,52,6
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2222 - COOKIES BISCUIT,2226 - SANDWICH BISCUIT,BEFORE,81,40.50,102,51.00,8,4.00,89,123,8
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2223 - CRACKER BISCUIT,2222 - COOKIES BISCUIT,BEFORE,125,62.50,81,40.50,10,5.00,174,89,12
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2223 - CRACKER BISCUIT,2224 - MARIE BISCUIT,BEFORE,125,62.50,45,22.50,6,3.00,174,52,11
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2223 - CRACKER BISCUIT,2226 - SANDWICH BISCUIT,BEFORE,125,62.50,102,51.00,9,4.50,174,123,9
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2224 - MARIE BISCUIT,2222 - COOKIES BISCUIT,BEFORE,45,22.50,81,40.50,4,2.00,52,89,5
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2224 - MARIE BISCUIT,2223 - CRACKER BISCUIT,BEFORE,45,22.50,125,62.50,6,3.00,52,174,7
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2224 - MARIE BISCUIT,2226 - SANDWICH BISCUIT,BEFORE,45,22.50,102,51.00,1,0.50,52,123,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2226 - SANDWICH BISCUIT,2222 - COOKIES BISCUIT,BEFORE,102,51.00,81,40.50,8,4.00,123,89,8
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2226 - SANDWICH BISCUIT,2223 - CRACKER BISCUIT,BEFORE,102,51.00,125,62.50,9,4.50,123,174,11
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,ROMA,2226 - SANDWICH BISCUIT,2224 - MARIE BISCUIT,BEFORE,102,51.00,45,22.50,1,0.50,123,52,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,TANGO,2221 - CAN BISCUIT,2227 - WAFER BISCUIT,BEFORE,3,1.50,79,39.50,1,0.50,3,130,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,TANGO,2227 - WAFER BISCUIT,2221 - CAN BISCUIT,BEFORE,79,39.50,3,1.50,1,0.50,130,3,2
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,UNIBIS,2222 - COOKIES BISCUIT,2226 - SANDWICH BISCUIT,BEFORE,12,6.00,7,3.50,1,0.50,14,9,1
1ML5,BISC & CONFECTIONARY,DA,DAM,BEFORE_V1,UNIBIS,2226 - SANDWICH BISCUIT,2222 - COOKIES BISCUIT,BEFORE,7,3.50,12,6.00,1,0.50,9,14,1
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,ALFAMART,1311 - JAM,1313 - CHOCO RICE,BEFORE,24,12.00,69,34.50,1,0.50,26,79,1
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,ALFAMART,1313 - CHOCO RICE,1311 - JAM,BEFORE,69,34.50,24,12.00,1,0.50,79,26,1
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,CERES,1312 - CHOCOLATE SPREAD,1313 - CHOCO RICE,AFTER,10,3.33,33,11.00,1,0.33,10,33,1
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,CERES,1313 - CHOCO RICE,1312 - CHOCOLATE SPREAD,AFTER,33,11.00,10,3.33,1,0.33,33,10,1
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,MY ROTI,6611 - BREAD,6612 - CAKE,AFTER,229,76.33,19,6.33,3,1.00,275,24,6
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,MY ROTI,6611 - BREAD,6612 - CAKE,BEFORE,466,233.00,48,24.00,14,7.00,539,70,16
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,MY ROTI,6612 - CAKE,6611 - BREAD,AFTER,19,6.33,229,76.33,3,1.00,24,275,3
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,MY ROTI,6612 - CAKE,6611 - BREAD,BEFORE,48,24.00,466,233.00,14,7.00,70,539,16
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,PAROTI,6611 - BREAD,6612 - CAKE,AFTER,66,22.00,14,4.67,1,0.33,74,17,1
1ML5,BREAD CORNER (BC),NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,PAROTI,6612 - CAKE,6611 - BREAD,AFTER,14,4.67,66,22.00,1,0.33,17,74,1
1ML5,BREAKFAST,BA,BAF,AFTER_V1,FRESCO,1221 - INSTANT COFFEE MIX,1222 - COFFEE MIX,AFTER,8,2.67,9,3.00,1,0.33,15,9,2
1ML5,BREAKFAST,BA,BAF,AFTER_V1,FRESCO,1222 - COFFEE MIX,1221 - INSTANT COFFEE MIX,AFTER,9,3.00,8,2.67,1,0.33,9,15,1
1ML5,BREAKFAST,BA,BAF,AFTER_V1,KAPAL API,1222 - COFFEE MIX,1223 - PURE COFFEE,AFTER,58,19.33,65,21.67,1,0.33,78,71,1
1ML5,BREAKFAST,BA,BAF,AFTER_V1,KAPAL API,1223 - PURE COFFEE,1222 - COFFEE MIX,AFTER,65,21.67,58,19.33,1,0.33,71,78,1
1ML5,BREAKFAST,BA,BAF,AFTER_V1,TONGTJI,1212 - BAG TEA,1213 - LEAF TEA,AFTER,13,4.33,25,8.33,1,0.33,13,26,1
1ML5,BREAKFAST,BA,BAF,AFTER_V1,TONGTJI,1213 - LEAF TEA,1212 - BAG TEA,AFTER,25,8.33,13,4.33,1,0.33,26,13,1
1ML5,BREAKFAST,BA,BAF,BEFORE_V1,KAPAL API,1222 - COFFEE MIX,1223 - PURE COFFEE,BEFORE,74,37.00,115,57.50,3,1.50,94,129,5
