kd_store,section,kd_section,kd_variant,plano_group_final,category,brand,subcategory_a,subcategory_b,period_flag,trans_a,trans_a_pm,qty_a,trans_b,trans_b_pm,qty_b,trans_ab,trans_ab_pm,qty_ab
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),DJI SAM SOE,2411A - SKT (SIGARET KRETEK TANGAN) 10-12,2411B - SKT (SIGARET KRETEK TANGAN) 16-20,AFTER,64,21.33,73,7,2.33,7,1,0.33,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),DJI SAM SOE,2411B - SKT (SIGARET KRETEK TANGAN) 16-20,2411A - SKT (SIGARET KRETEK TANGAN) 10-12,AFTER,7,2.33,7,64,21.33,73,1,0.33,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,AFTER,1,0.33,3,11,3.67,22,1,0.33,3
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,AFTER,11,3.67,22,1,0.33,3,1,0.33,2
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,AFTER,11,3.67,22,27,9.00,32,1,0.33,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,BEFORE,15,7.50,16,30,15.00,30,1,0.50,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,AFTER,27,9.00,32,11,3.67,22,1,0.33,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,BEFORE,30,15.00,30,15,7.50,16,1,0.50,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,EVO,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,AFTER,9,3.00,10,25,8.33,28,1,0.33,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,EVO,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,AFTER,25,8.33,28,9,3.00,10,1,0.33,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,SAMPOERNA,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,BEFORE,10,5.00,13,121,60.50,278,1,0.50,4
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,SAMPOERNA,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,BEFORE,121,60.50,278,10,5.00,13,1,0.50,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,SAMPOERNA,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,AFTER,106,35.33,136,4,1.33,5,2,0.67,2
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,SAMPOERNA,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,AFTER,4,1.33,5,106,35.33,136,2,0.67,2
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,GUDANG GARAM,2413A - SKM (SIGARET KRETEK MESIN) FF 12,2413B - SKM (SIGARET KRETEK MESIN) FF 16,AFTER,27,9.00,30,20,6.67,21,1,0.33,1
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,GUDANG GARAM,2413B - SKM (SIGARET KRETEK MESIN) FF 16,2413A - SKM (SIGARET KRETEK MESIN) FF 12,AFTER,20,6.67,21,27,9.00,30,1,0.33,1
