kd_store,section,kd_section,kd_variant,plano_group_final,category_a,category_b,period_flag,trans_a,trans_a_pm,trans_b,trans_b_pm,trans_ab,support_ratio,total_transactions,avg_qty_a_when_pair,avg_qty_b_when_pair
1ML5,-,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6235 - FROZEN MEAT BALLS,6236 - FROZEN SAUSAGES,BEFORE,19,9.50,19,9.50,1,0.027027,37,1.00,1.00
1ML5,-,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,6236 - FROZEN SAUSAGES,6235 - FROZEN MEAT BALLS,BEFORE,19,9.50,19,9.50,1,0.027027,37,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),2412 - SKM (SIGARET KRETEK MESIN) LTLN,AFTER,217,72.33,359,119.67,18,0.024096,747,1.26,1.21
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),2413 - SKM (SIGARET KRETEK MESIN) FF,AFTER,217,72.33,101,33.67,8,0.010710,747,1.33,1.33
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),2414 - SPM (SIGARET PUTIH MESIN),AFTER,217,72.33,66,22.00,1,0.001339,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),"2421 - LIGHTER, MATCHES & PAPER",AFTER,217,72.33,31,10.33,3,0.004016,747,2.67,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2411 - SKT (SIGARET KRETEK TANGAN),AFTER,359,119.67,217,72.33,18,0.024096,747,1.21,1.26
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2413 - SKM (SIGARET KRETEK MESIN) FF,AFTER,359,119.67,101,33.67,10,0.013387,747,1.60,1.10
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2414 - SPM (SIGARET PUTIH MESIN),AFTER,359,119.67,66,22.00,2,0.002677,747,2.50,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2415 - SIGARET ELEKTRIK,AFTER,359,119.67,44,14.67,9,0.012048,747,2.17,2.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,"2421 - LIGHTER, MATCHES & PAPER",AFTER,359,119.67,31,10.33,12,0.016064,747,1.08,1.15
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2411 - SKT (SIGARET KRETEK TANGAN),AFTER,101,33.67,217,72.33,8,0.010710,747,1.33,1.33
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2412 - SKM (SIGARET KRETEK MESIN) LTLN,AFTER,101,33.67,359,119.67,10,0.013387,747,1.10,1.60
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2414 - SPM (SIGARET PUTIH MESIN),AFTER,101,33.67,66,22.00,2,0.002677,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2415 - SIGARET ELEKTRIK,AFTER,101,33.67,44,14.67,1,0.001339,747,1.00,2.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,"2421 - LIGHTER, MATCHES & PAPER",AFTER,101,33.67,31,10.33,6,0.008032,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),2411 - SKT (SIGARET KRETEK TANGAN),AFTER,66,22.00,217,72.33,1,0.001339,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),2412 - SKM (SIGARET KRETEK MESIN) LTLN,AFTER,66,22.00,359,119.67,2,0.002677,747,1.00,2.50
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),2413 - SKM (SIGARET KRETEK MESIN) FF,AFTER,66,22.00,101,33.67,2,0.002677,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),2415 - SIGARET ELEKTRIK,AFTER,66,22.00,44,14.67,1,0.001339,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),"2421 - LIGHTER, MATCHES & PAPER",AFTER,66,22.00,31,10.33,4,0.005355,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2412 - SKM (SIGARET KRETEK MESIN) LTLN,AFTER,44,14.67,359,119.67,9,0.012048,747,2.00,2.17
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2413 - SKM (SIGARET KRETEK MESIN) FF,AFTER,44,14.67,101,33.67,1,0.001339,747,2.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2414 - SPM (SIGARET PUTIH MESIN),AFTER,44,14.67,66,22.00,1,0.001339,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,"2421 - LIGHTER, MATCHES & PAPER",2411 - SKT (SIGARET KRETEK TANGAN),AFTER,31,10.33,217,72.33,3,0.004016,747,1.00,2.67
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,"2421 - LIGHTER, MATCHES & PAPER",2412 - SKM (SIGARET KRETEK MESIN) LTLN,AFTER,31,10.33,359,119.67,12,0.016064,747,1.15,1.08
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,"2421 - LIGHTER, MATCHES & PAPER",2413 - SKM (SIGARET KRETEK MESIN) FF,AFTER,31,10.33,101,33.67,6,0.008032,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,"2421 - LIGHTER, MATCHES & PAPER",2414 - SPM (SIGARET PUTIH MESIN),AFTER,31,10.33,66,22.00,4,0.005355,747,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),2412 - SKM (SIGARET KRETEK MESIN) LTLN,BEFORE,175,87.50,364,182.00,13,0.015513,838,1.60,1.40
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),2413 - SKM (SIGARET KRETEK MESIN) FF,BEFORE,175,87.50,186,93.00,10,0.011933,838,1.62,1.08
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),2414 - SPM (SIGARET PUTIH MESIN),BEFORE,175,87.50,145,72.50,1,0.001193,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),2415 - SIGARET ELEKTRIK,BEFORE,175,87.50,34,17.00,1,0.001193,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2411 - SKT (SIGARET KRETEK TANGAN),BEFORE,364,182.00,175,87.50,13,0.015513,838,1.40,1.60
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2413 - SKM (SIGARET KRETEK MESIN) FF,BEFORE,364,182.00,186,93.00,24,0.028640,838,1.37,1.10
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2414 - SPM (SIGARET PUTIH MESIN),BEFORE,364,182.00,145,72.50,9,0.010740,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2415 - SIGARET ELEKTRIK,BEFORE,364,182.00,34,17.00,2,0.002387,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,"2421 - LIGHTER, MATCHES & PAPER",BEFORE,364,182.00,37,18.50,17,0.020286,838,3.65,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2411 - SKT (SIGARET KRETEK TANGAN),BEFORE,186,93.00,175,87.50,10,0.011933,838,1.08,1.62
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BEFORE,186,93.00,364,182.00,24,0.028640,838,1.10,1.37
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2414 - SPM (SIGARET PUTIH MESIN),BEFORE,186,93.00,145,72.50,21,0.025060,838,1.21,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2415 - SIGARET ELEKTRIK,BEFORE,186,93.00,34,17.00,1,0.001193,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,"2421 - LIGHTER, MATCHES & PAPER",BEFORE,186,93.00,37,18.50,5,0.005967,838,1.20,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),2411 - SKT (SIGARET KRETEK TANGAN),BEFORE,145,72.50,175,87.50,1,0.001193,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),2412 - SKM (SIGARET KRETEK MESIN) LTLN,BEFORE,145,72.50,364,182.00,9,0.010740,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),2413 - SKM (SIGARET KRETEK MESIN) FF,BEFORE,145,72.50,186,93.00,21,0.025060,838,1.00,1.21
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),2415 - SIGARET ELEKTRIK,BEFORE,145,72.50,34,17.00,2,0.002387,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2414 - SPM (SIGARET PUTIH MESIN),"2421 - LIGHTER, MATCHES & PAPER",BEFORE,145,72.50,37,18.50,5,0.005967,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2411 - SKT (SIGARET KRETEK TANGAN),BEFORE,34,17.00,175,87.50,1,0.001193,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BEFORE,34,17.00,364,182.00,2,0.002387,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2413 - SKM (SIGARET KRETEK MESIN) FF,BEFORE,34,17.00,186,93.00,1,0.001193,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2415 - SIGARET ELEKTRIK,2414 - SPM (SIGARET PUTIH MESIN),BEFORE,34,17.00,145,72.50,2,0.002387,838,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,"2421 - LIGHTER, MATCHES & PAPER",2412 - SKM (SIGARET KRETEK MESIN) LTLN,BEFORE,37,18.50,364,182.00,17,0.020286,838,1.00,3.65
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,"2421 - LIGHTER, MATCHES & PAPER",2413 - SKM (SIGARET KRETEK MESIN) FF,BEFORE,37,18.50,186,93.00,5,0.005967,838,1.00,1.20
