kd_store,section,kd_section,kd_variant,plano_group_final,category,subcategory_a,subcategory_b,period_flag,trans_a,trans_a_pm,trans_b,trans_b_pm,trans_ab,total_transactions,support_ratio,avg_qty_a_when_pair,avg_qty_b_when_pair
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),2411A - SKT (SIGARET KRETEK TANGAN) 10-12,2411B - SKT (SIGARET KRETEK TANGAN) 16-20,AFTER,208,69.33,10,3.33,1,747,0.001339,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2411 - SKT (SIGARET KRETEK TANGAN),2411B - SKT (SIGARET KRETEK TANGAN) 16-20,2411A - SKT (SIGARET KRETEK TANGAN) 10-12,AFTER,10,3.33,208,69.33,1,747,0.001339,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,AFTER,48,16.00,265,88.33,2,747,0.002677,2.33,1.67
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,AFTER,265,88.33,48,16.00,2,747,0.002677,1.67,2.33
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,AFTER,265,88.33,56,18.67,8,747,0.010710,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,AFTER,56,18.67,265,88.33,8,747,0.010710,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2413A - SKM (SIGARET KRETEK MESIN) FF 12,2413B - SKM (SIGARET KRETEK MESIN) FF 16,AFTER,67,22.33,27,9.00,1,747,0.001339,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2413A - SKM (SIGARET KRETEK MESIN) FF 12,2413C - SKM (SIGARET KRETEK MESIN) FF 20,AFTER,67,22.33,9,3.00,1,747,0.001339,1.00,2.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2413B - SKM (SIGARET KRETEK MESIN) FF 16,2413A - SKM (SIGARET KRETEK MESIN) FF 12,AFTER,27,9.00,67,22.33,1,747,0.001339,1.00,1.00
1ML5,BACKWALL,NOT_TRIAL,NOT_TRIAL,NOT_TRIAL,2413 - SKM (SIGARET KRETEK MESIN) FF,2413C - SKM (SIGARET KRETEK MESIN) FF 20,2413A - SKM (SIGARET KRETEK MESIN) FF 12,AFTER,9,3.00,67,22.33,1,747,0.001339,2.00,1.00
