BUYER_ID,SECTION,BRAND,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010000480000,CHILLER,YAKULT,6212 - YOGHURT,6212 - YOGHURT,NO_SWITCH,NON PROMO
MEM_9990010000480000,STAPLE NEED,INDOFOOD,1721 - CHILLI,1721 - CHILLI,NO_SWITCH,NON PROMO
MEM_9990010001781284,NOODLE,INDOMIE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010002364151,BREAKFAST,FRISIAN FLAG,2021 - SWEETENED CONDENSED MILK,2021 - SWEETENED CONDENSED MILK,NO_SWITCH,NON PROMO
MEM_9990010002615023,CHILLER,INDOMILK,1117 - YOGHURT BEVERAGE,2024 - BOTTLE - CAN LIQUID MILK,SWITCH,PROMO
MEM_9990010002615023,CHILLER,INDOMILK,2024 - BOTTLE - CAN LIQUID MILK,2024 - BOTTLE - CAN LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010002615023,CHILLER,YAKULT,6212 - YOGHURT,6212 - YOGHURT,NO_SWITCH,NON PROMO
MEM_9990010002837793,BREAKFAST,FRESCO,1222 - COFFEE MIX,1222 - COFFEE MIX,NO_SWITCH,NON PROMO
MEM_9990010002837793,MEDICINE & BABY CARE,CUSSONS,3132 - TELON OIL,3132 - TELON OIL,NO_SWITCH,PROMO
MEM_9990010002881433,HOUSE HOLD,ROYALE,3722 - CONCENTRATE FABRIC CONDITIONER,3722 - CONCENTRATE FABRIC CONDITIONER,NO_SWITCH,PROMO
MEM_9990010003025321,BISC & CONFECTIONARY,PAROTI,2223 - CRACKER BISCUIT,2223 - CRACKER BISCUIT,NO_SWITCH,PROMO
MEM_9990010003025321,BISC & CONFECTIONARY,ROMA,2226 - SANDWICH BISCUIT,2224 - MARIE BISCUIT,SWITCH,PROMO
MEM_9990010003025321,BISC & CONFECTIONARY,ROMA,2226 - SANDWICH BISCUIT,2226 - SANDWICH BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010003025321,HOUSE HOLD,GENTLE GEN,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010003025321,HOUSE HOLD,ROYALE,3722 - CONCENTRATE FABRIC CONDITIONER,3722 - CONCENTRATE FABRIC CONDITIONER,NO_SWITCH,PROMO
MEM_9990010003025321,NOODLE,INDOMIE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010003025321,NOODLE,SARIMI,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010003025321,SANITARY ADULT,HERS,3325 - SANITARY NAPKINS NIGHT,3325 - SANITARY NAPKINS NIGHT,NO_SWITCH,PROMO
MEM_9990010003025321,STAPLE NEED,INDOFOOD,1723 - SOY SAUCE,1723 - SOY SAUCE,NO_SWITCH,PROMO
MEM_9990010003025321,STAPLE NEED,KOBE,1716 - FLOUR SEASONING,1716 - FLOUR SEASONING,NO_SWITCH,PROMO
MEM_9990010003025321,STAPLE NEED,LEE KUM KEE,1724 - LIQUID SAUCE & VINEGAR,1724 - LIQUID SAUCE & VINEGAR,NO_SWITCH,PROMO
