BUYER_ID,SECTION,CATEGORY,BRAND,SUBCATEGORY_BEFORE,SUBCATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010000480000,CHILLER,6212 - YOGHURT,YAKULT,6212A - YOGHURT PACK,6212A - YOGHURT PACK,NO_SWITCH,NON PROMO
MEM_9990010000480000,STAPLE NEED,1721 - CHILLI,INDOFOOD,1721B - CHILLI PET & BOTTLE 235-275ML,1721B - CHILLI PET & BOTTLE 235-275ML,NO_SWITCH,NON PROMO
MEM_9990010001781284,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911A - INSTANT FRIED NOODLE 65-100G,1911A - INSTANT FRIED NOODLE 65-100G,NO_SWITCH,NON PROMO
MEM_9990010002364151,BREAKFAST,2021 - SWEETENED CONDENSED MILK,FRISIAN FLAG,2021A - SWEETENED CONDENSED MILK PACK,2021A - SWEETENED CONDENSED MILK PACK,NO_SWITCH,NON PROMO
MEM_9990010002615023,CHILLER,2024 - BOTTLE - CAN LIQUID MILK,INDOMILK,2024C - BOTTLE LIQUID MILK 160-310ML,2024C - BOTTLE LIQUID MILK 160-310ML,NO_SWITCH,PROMO
MEM_9990010002615023,CHILLER,6212 - YOGHURT,YAKULT,6212A - YOGHURT PACK,6212A - YOGHURT PACK,NO_SWITCH,NON PROMO
MEM_9990010002837793,BREAKFAST,1222 - COFFEE MIX,FRESCO,1222B - 2 IN 1 COFFEE MIX 9-10S,1222B - 2 IN 1 COFFEE MIX 9-10S,NO_SWITCH,NON PROMO
MEM_9990010002837793,MEDICINE & BABY CARE,3132 - TELON OIL,CUSSONS,3132A - TELON OIL 30-90ML,3132B - TELON OIL 100-150ML,SWITCH,PROMO
MEM_9990010002881433,HOUSE HOLD,3722 - CONCENTRATE FABRIC CONDITIONER,ROYALE,3722C - CONCENTRATE SOFTENER 600-800ML,3722C - CONCENTRATE SOFTENER 600-800ML,NO_SWITCH,PROMO
MEM_9990010003025321,BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,PAROTI,2223C - CRACKER BISCUIT 100-180G,2223C - CRACKER BISCUIT 100-180G,NO_SWITCH,PROMO
MEM_9990010003025321,BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,ROMA,2226D - SANDWICH BISCUIT 160-229G,2226D - SANDWICH BISCUIT 160-229G,NO_SWITCH,NON PROMO
MEM_9990010003025321,HOUSE HOLD,3714 - LIQUID DETERGENT,GENTLE GEN,3714A - LIQUID DETERGENT BOTTLE,3714A - LIQUID DETERGENT BOTTLE,NO_SWITCH,PROMO
MEM_9990010003025321,HOUSE HOLD,3722 - CONCENTRATE FABRIC CONDITIONER,ROYALE,3722C - CONCENTRATE SOFTENER 600-800ML,3722C - CONCENTRATE SOFTENER 600-800ML,NO_SWITCH,PROMO
MEM_9990010003025321,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911A - INSTANT FRIED NOODLE 65-100G,1911A - INSTANT FRIED NOODLE 65-100G,NO_SWITCH,PROMO
MEM_9990010003025321,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911A - INSTANT FRIED NOODLE 65-100G,1911B - INSTANT BOILED NOODLE 50-99G,SWITCH,PROMO
MEM_9990010003025321,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911B - INSTANT BOILED NOODLE 50-99G,1911A - INSTANT FRIED NOODLE 65-100G,SWITCH,PROMO
MEM_9990010003025321,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911B - INSTANT BOILED NOODLE 50-99G,1911B - INSTANT BOILED NOODLE 50-99G,NO_SWITCH,PROMO
MEM_9990010003025321,NOODLE,1911 - INSTANT NOODLE BAG,SARIMI,1911F - INSTANT FRIED NOODLE >100G,1911F - INSTANT FRIED NOODLE >100G,NO_SWITCH,NON PROMO
MEM_9990010003025321,SANITARY ADULT,3325 - SANITARY NAPKINS NIGHT,HERS,3325B - SANITARY NAPKINS NIGHT WINGS 10-20S,3325B - SANITARY NAPKINS NIGHT WINGS 10-20S,NO_SWITCH,PROMO
MEM_9990010003025321,STAPLE NEED,1513 - FLOUR,ROSE BRAND,1513B - OTHER FLOUR,1513B - OTHER FLOUR,NO_SWITCH,PROMO
MEM_9990010003025321,STAPLE NEED,1716 - FLOUR SEASONING,KOBE,1716B - SPECIFIC FLOUR SEASONING,1716B - SPECIFIC FLOUR SEASONING,NO_SWITCH,PROMO
MEM_9990010003025321,STAPLE NEED,1723 - SOY SAUCE,INDOFOOD,1723C - SOY SAUCE 500-600ML,1723C - SOY SAUCE 500-600ML,NO_SWITCH,PROMO
MEM_9990010003025321,STAPLE NEED,1724 - LIQUID SAUCE & VINEGAR,LEE KUM KEE,1724B - LIQUID SAUCE BOTTLE,1724B - LIQUID SAUCE BOTTLE,NO_SWITCH,PROMO
MEM_9990010003025663,HOUSE HOLD,3611 - AEROSOL INSECTICIDES,HIT,3611A - AEROSOL INSECTICIDES 600-700ML,3611A - AEROSOL INSECTICIDES 600-700ML,NO_SWITCH,PROMO
MEM_9990010003025663,HOUSE HOLD,3711 - POWDER DETERGENT,SOKLIN,3711D - POWDER DETERGENT 1-2 KG,3711D - POWDER DETERGENT 1-2 KG,NO_SWITCH,PROMO
MEM_9990010003025663,HOUSE HOLD,3722 - CONCENTRATE FABRIC CONDITIONER,ROYALE,3722C - CONCENTRATE SOFTENER 600-800ML,3722C - CONCENTRATE SOFTENER 600-800ML,NO_SWITCH,PROMO
MEM_9990010003025663,PERSONAL CARE,3223 - HEALTHY LIQUID SOAP,NUVO,3223D - HEALTHY LIQUID SOAP 300-600ML,3223D - HEALTHY LIQUID SOAP 300-600ML,NO_SWITCH,PROMO
MEM_9990010003025663,STAPLE NEED,1511 - RICE,ALFAMART,1511B - RICE BAG 5KG,1511B - RICE BAG 5KG,NO_SWITCH,NON PROMO
MEM_9990010003025663,STAPLE NEED,1521 - PALM COOKING OIL,TROPICAL,1521G - PALM COOKING OIL BOTTLE 2L,1521G - PALM COOKING OIL BOTTLE 2L,NO_SWITCH,PROMO
MEM_9990010003025663,STAPLE NEED,1723 - SOY SAUCE,BANGO,1723C - SOY SAUCE 500-600ML,1723C - SOY SAUCE 500-600ML,NO_SWITCH,NON PROMO
MEM_9990010003029031,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911B - INSTANT BOILED NOODLE 50-99G,1911A - INSTANT FRIED NOODLE 65-100G,SWITCH,NON PROMO
MEM_9990010003029031,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911B - INSTANT BOILED NOODLE 50-99G,1911B - INSTANT BOILED NOODLE 50-99G,NO_SWITCH,NON PROMO
MEM_9990010003029031,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911D - PREMIUM INSTANT BOILED NOODLE,1911A - INSTANT FRIED NOODLE 65-100G,SWITCH,NON PROMO
MEM_9990010003029031,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911D - PREMIUM INSTANT BOILED NOODLE,1911B - INSTANT BOILED NOODLE 50-99G,SWITCH,NON PROMO
MEM_9990010003031153,SNACK,2215 - CASSAVA,LEMONILO,2215A - CASSAVA 40-80G,2215A - CASSAVA 40-80G,NO_SWITCH,NON PROMO
MEM_9990010003035100,BREAD CORNER (BC),6611 - BREAD,SARI ROTI,6611A - WHITE BREAD,6611D - PULL APART BREAD,SWITCH,NON PROMO
MEM_9990010003035100,BREAKFAST,1223 - PURE COFFEE,KAPAL API,1223C - PURE COFFEE 251-450G,1223B - PURE COFFEE 101-250G,SWITCH,PROMO
MEM_9990010003070658,BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,NO_SWITCH,NON PROMO
MEM_9990010003070658,BCTB (FLOOR),1119 - MINERAL WATER GALON,LE MINERALE,1119A - MINERAL WATER GALON 15-19L,1119A - MINERAL WATER GALON 15-19L,NO_SWITCH,NON PROMO
MEM_9990010003070658,BREAD CORNER (BC),6611 - BREAD,MY ROTI,6611C - SANDWICH BREAD,6611D - PULL APART BREAD,SWITCH,PROMO
MEM_9990010003070658,HOUSE HOLD,3616 - OTHERS INSECTICIDES,GAJAH,3616A - INSECTICIDES OTHERS,3616A - INSECTICIDES OTHERS,NO_SWITCH,PROMO
MEM_9990010003070658,MEJA KASIR,2332 - BLOCK CHOCOLATE,SILVER QUEEN,2332C - BLOCK CHOCOLATE 50-99G,2332C - BLOCK CHOCOLATE 50-99G,NO_SWITCH,PROMO
MEM_9990010003070658,SNACK,2212 - POTATOES,JAPOTA,2212B - POTATOES 54-85G,2212B - POTATOES 54-85G,NO_SWITCH,NON PROMO
MEM_9990010003070658,STAPLE NEED,1521 - PALM COOKING OIL,SUNCO,1521C - PALM COOKING OIL POUCH 1800-2000ML,1521C - PALM COOKING OIL POUCH 1800-2000ML,NO_SWITCH,PROMO
MEM_9990010003071087,PERSONAL CARE,3240 - SUNSCREEN,SCARLETT,3240A - FACE SUNSCREEN,3240A - FACE SUNSCREEN,NO_SWITCH,PROMO
MEM_9990010003071087,PERSONAL CARE,3241 - FACIAL WASH SOAP,GARNIER,3241B - FACIAL WASH SOAP WOMEN 70-125G,3241B - FACIAL WASH SOAP WOMEN 70-125G,NO_SWITCH,PROMO
MEM_9990010003071899,CHILLER,6212 - YOGHURT,CIMORY,6212C - YOGHURT LIQUID 100-330ML,6212C - YOGHURT LIQUID 100-330ML,NO_SWITCH,NON PROMO
MEM_9990010003074026,BCTB (FLOOR),1119 - MINERAL WATER GALON,AQUA,1119A - MINERAL WATER GALON 15-19L,1119A - MINERAL WATER GALON 15-19L,NO_SWITCH,NON PROMO
MEM_9990010003074026,HOUSE HOLD,3615 - ELECTRIC INSECTICIDES,VAPE,3615A - ELECTRIC INSECTICIDES LIQUID,3615A - ELECTRIC INSECTICIDES LIQUID,NO_SWITCH,PROMO
MEM_9990010003074026,HOUSE HOLD,3714 - LIQUID DETERGENT,GENTLE GEN,3714A - LIQUID DETERGENT BOTTLE,3714A - LIQUID DETERGENT BOTTLE,NO_SWITCH,PROMO
MEM_9990010003074026,HOUSE HOLD,3714 - LIQUID DETERGENT,SOKLIN,3714A - LIQUID DETERGENT BOTTLE,3714A - LIQUID DETERGENT BOTTLE,NO_SWITCH,PROMO
MEM_9990010003074026,MEDICINE & BABY CARE,3334 - REGULER COTTON BUD,ALFAMART,3334A - REGULER COTTON BUD REF,3334A - REGULER COTTON BUD REF,NO_SWITCH,NON PROMO
MEM_9990010003074026,PERSONAL CARE,3221 - BAR SOAP,GIV,3221D - BEAUTY BAR SOAP BANDED,3221D - BEAUTY BAR SOAP BANDED,NO_SWITCH,PROMO
MEM_9990010003074026,STAPLE NEED,1512 - SUGAR,GMP,1512C - SUGAR BAG 1KG,1512C - SUGAR BAG 1KG,NO_SWITCH,NON PROMO
MEM_9990010003074026,STAPLE NEED,1512 - SUGAR,ROSE BRAND,1512C - SUGAR BAG 1KG,1512C - SUGAR BAG 1KG,NO_SWITCH,NON PROMO
MEM_9990010003074026,STAPLE NEED,1521 - PALM COOKING OIL,BIMOLI,1521B - PALM COOKING OIL POUCH 900-1000ML,1521B - PALM COOKING OIL POUCH 900-1000ML,NO_SWITCH,PROMO
MEM_9990010003074026,STAPLE NEED,1712 - SALT,KAPAL,1712A - SALT,1712A - SALT,NO_SWITCH,NON PROMO
MEM_9990010003180097,BREAD CORNER (BC),6611 - BREAD,SARI ROTI,6611A - WHITE BREAD,6611A - WHITE BREAD,NO_SWITCH,NON PROMO
MEM_9990010003180097,BREAD CORNER (BC),6611 - BREAD,SARI ROTI,6611D - PULL APART BREAD,6611A - WHITE BREAD,SWITCH,NON PROMO
MEM_9990010003180097,CHILLER,1114 - ISOTONIC DRINK,HYDRO COCO,1114A - ISOTONIC DRINK PET 100-250ML,1114A - ISOTONIC DRINK PET 100-250ML,NO_SWITCH,NON PROMO
