BUYER_ID,SECTION,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010000480000,CHILLER,6227 - CHILLED SAUSAGES,1156 - RTD COFFEE,SWITCH,PROMO
MEM_9990010000480000,STAPLE NEED,1512 - SUGAR,1521 - PALM COOKING OIL,SWITCH,PROMO
MEM_9990010000686684,STAPLE NEED,1721 - CHILLI,1723 - SOY SAUCE,SWITCH,NON PROMO
MEM_9990010000715470,BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),2413 - SKM (SIGARET KRETEK MESIN) FF,SWITCH,NON PROMO
MEM_9990010000885351,SNACK,2213 - EXTRUDED & PELLET,2214 - TRADITIONAL SNACK,SWITCH,PROMO
MEM_9990010001520861,CHILLER,2023 - TETRAPACK LIQUID MILK,6212 - YOGHURT,SWITCH,NON PROMO
MEM_9990010001520861,STAPLE NEED,1511 - RICE,1721 - CHILLI,SWITCH,PROMO
MEM_9990010001588951,BREAKFAST,1222 - COFFEE MIX,1222 - COFFEE MIX,NO_SWITCH,NON PROMO
MEM_9990010001665315,CHILLER,1156 - RTD COFFEE,1115 - REMEDIES DRINK,SWITCH,NON PROMO
MEM_9990010001781284,CHILLER,1117 - YOGHURT BEVERAGE,1154 - RTD TEA,SWITCH,PROMO
MEM_9990010001781284,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010001781284,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010001781284,SNACK,2211 - PEANUTS,2213 - EXTRUDED & PELLET,SWITCH,PROMO
MEM_9990010001781284,SNACK,2211 - PEANUTS,2213 - EXTRUDED & PELLET,SWITCH,NON PROMO
MEM_9990010001781284,STAPLE NEED,1915 - PASTA,1512 - SUGAR,SWITCH,NON PROMO
MEM_9990010002364151,BREAKFAST,1221 - INSTANT COFFEE MIX,2021 - SWEETENED CONDENSED MILK,SWITCH,NON PROMO
MEM_9990010002364151,CHILLER,1156 - RTD COFFEE,1156 - RTD COFFEE,NO_SWITCH,NON PROMO
MEM_9990010002364151,HOUSE HOLD,3516 - DISHWASHING CLEANER,3723 - DILUTE FABRIC CONDITIONER,SWITCH,PROMO
MEM_9990010002578251,BREAKFAST,1211 - INSTANT TEA,1321 - CEREAL,SWITCH,NON PROMO
MEM_9990010002578251,BREAKFAST,1211 - INSTANT TEA,1321 - CEREAL,SWITCH,PROMO
MEM_9990010002578251,CHILLER,1151 - RTD JUICE,2023 - TETRAPACK LIQUID MILK,SWITCH,NON PROMO
MEM_9990010002615023,BREAKFAST,1223 - PURE COFFEE,1321 - CEREAL,SWITCH,PROMO
MEM_9990010002615023,CHILLER,2024 - BOTTLE - CAN LIQUID MILK,2023 - TETRAPACK LIQUID MILK,SWITCH,PROMO
MEM_9990010002615023,CHILLER,2024 - BOTTLE - CAN LIQUID MILK,2023 - TETRAPACK LIQUID MILK,SWITCH,NON PROMO
MEM_9990010002837793,BREAKFAST,1222 - COFFEE MIX,1222 - COFFEE MIX,NO_SWITCH,NON PROMO
MEM_9990010002837793,CHILLER,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010002837793,HOUSE HOLD,3511 - FLOOR CLEANER,3616 - OTHERS INSECTICIDES,SWITCH,PROMO
MEM_9990010002837793,MEDICINE & BABY CARE,3132 - TELON OIL,3118 - ADULT VITAMINS/SUPLEMENT,SWITCH,PROMO
MEM_9990010002837793,STAPLE NEED,1512 - SUGAR,1915 - PASTA,SWITCH,PROMO
MEM_9990010002876956,BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2226 - SANDWICH BISCUIT,SWITCH,PROMO
MEM_9990010002876956,ICE CREAM,6242 - IMPULSE ICE CREAM,6242 - IMPULSE ICE CREAM,NO_SWITCH,NON PROMO
MEM_9990010002876956,SNACK,2212 - POTATOES,2214 - TRADITIONAL SNACK,SWITCH,NON PROMO
MEM_9990010002881433,HOUSE HOLD,3711 - POWDER DETERGENT,3516 - DISHWASHING CLEANER,SWITCH,PROMO
MEM_9990010003025321,BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223 - CRACKER BISCUIT,NO_SWITCH,PROMO
MEM_9990010003025321,HOUSE HOLD,3714 - LIQUID DETERGENT,3516 - DISHWASHING CLEANER,SWITCH,PROMO
MEM_9990010003025321,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010003025321,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010003025321,PERSONAL CARE,3222 - BEAUTY LIQUID SOAP,3222 - BEAUTY LIQUID SOAP,NO_SWITCH,PROMO
MEM_9990010003025321,SANITARY ADULT,3325 - SANITARY NAPKINS NIGHT,3325 - SANITARY NAPKINS NIGHT,NO_SWITCH,PROMO
MEM_9990010003025321,STAPLE NEED,1716 - FLOUR SEASONING,1511 - RICE,SWITCH,NON PROMO
MEM_9990010003025321,TOOTH CARE,3273 - MOUTHWASH,3271 - TOOTH BRUSH,SWITCH,PROMO
MEM_9990010003025663,HOUSE HOLD,3711 - POWDER DETERGENT,3511 - FLOOR CLEANER,SWITCH,PROMO
MEM_9990010003025663,PERSONAL CARE,3223 - HEALTHY LIQUID SOAP,3223 - HEALTHY LIQUID SOAP,NO_SWITCH,PROMO
MEM_9990010003025663,STAPLE NEED,1511 - RICE,1521 - PALM COOKING OIL,SWITCH,PROMO
MEM_9990010003029031,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010003031153,BREAD CORNER (BC),6611 - BREAD,6611 - BREAD,NO_SWITCH,NON PROMO
MEM_9990010003031153,CHILLER,6227 - CHILLED SAUSAGES,6212 - YOGHURT,SWITCH,PROMO
