BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
ALFAMART,1511C - RICE BAG 10KG,1511 - RICE,-,1.07,,,20.5,,,1.46,,,165268.0,,,241291.0,,,28.0,,
ETERNA,4251B - CLEANING EQUIPMENT TOILET,4251 - CLEANING EQUIPMENT,-,1.0,1.0,0.0,5.5,3.0,-0.4545,1.0,1.0,0.0,9300.0,9300.0,0.0,9300.0,9300.0,0.0,11.0,9.0,-0.1818
ATLAS,5831A - RELIGIOUS NEEDS,5831 - RELIGIOUS NEEDS,-,,2.0,,,1.33,,,1.0,,,131350.0,,,131350.0,,,4.0,
BUMIFOOD,6229A - CHILLED SEAFOOD,6229 - CHILLED SEAFOOD,-,,1.6,,,248.0,,,1.28,,,13311.0,,,17038.0,,,580.0,
KIMBO,6235A - FROZEN MEAT BALLS,6235 - FROZEN MEAT BALLS,-,1.0,1.19,0.19,7.5,7.0,-0.0667,1.0,1.17,0.17,36900.0,46157.0,0.2509,36900.0,54004.0,0.4635,15.0,18.0,0.2
SO GOOD,6235A - FROZEN MEAT BALLS,6235 - FROZEN MEAT BALLS,-,1.04,,,22.5,,,1.12,,,21993.0,,,24632.0,,,40.0,,
SUMBER SELERA,6235A - FROZEN MEAT BALLS,6235 - FROZEN MEAT BALLS,-,1.03,1.25,0.2136,52.0,17.0,-0.6731,1.11,1.19,0.0721,37964.0,46306.0,0.2197,42140.0,55104.0,0.3076,94.0,43.0,-0.5426
BELFOODS,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.0,1.0,0.0,10.5,3.0,-0.7143,1.05,1.0,-0.0476,49462.0,48044.0,-0.0287,51935.0,48044.0,-0.0749,20.0,9.0,-0.55
BENFARM,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.06,1.12,0.0566,41.0,26.67,-0.3495,1.08,1.1,0.0185,60916.0,56105.0,-0.079,65789.0,61716.0,-0.0619,76.0,73.0,-0.0395
CHAMP,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.0,1.03,0.03,21.0,10.67,-0.4919,1.08,1.0,-0.0741,34143.0,33859.0,-0.0083,36874.0,33859.0,-0.0818,39.0,32.0,-0.1795
KANZLER,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.03,1.04,0.0097,67.5,15.0,-0.7778,1.12,1.05,-0.0625,40101.0,40838.0,0.0184,44913.0,42880.0,-0.0453,120.0,43.0,-0.6417
SO NICE,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.02,1.0,-0.0196,29.0,10.0,-0.6552,1.12,1.03,-0.0804,22134.0,21643.0,-0.0222,24790.0,22292.0,-0.1008,52.0,29.0,-0.4423
ACMIC,4641A - TRAVEL ACCESSORIES,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.29,1.0,-0.2248,3.5,2.0,-0.4286,1.17,1.0,-0.1453,29871.0,23233.0,-0.2222,34949.0,23233.0,-0.3352,6.0,6.0,0.0
ALFAMART,5521A - BABIES/CHILDREN SOCK,5521 - BABIES & CHILDREN SOCK,ACCESSORIES,1.0,1.0,0.0,4.5,0.67,-0.8511,1.0,1.0,0.0,21122.0,20400.0,-0.0342,21122.0,20400.0,-0.0342,9.0,2.0,-0.7778
ALFA,5523A - MENS SOCK,5523 - MENS SOCK,ACCESSORIES,1.08,1.11,0.0278,20.0,15.0,-0.25,1.0,1.07,0.07,20117.0,22467.0,0.1168,20117.0,24040.0,0.195,40.0,42.0,0.05
ALFAMART,5523A - MENS SOCK,5523 - MENS SOCK,ACCESSORIES,1.06,1.0,-0.0566,8.0,3.67,-0.5412,1.0,1.0,0.0,20231.0,19455.0,-0.0384,20231.0,19455.0,-0.0384,16.0,11.0,-0.3125
PRINGLE,5523A - MENS SOCK,5523 - MENS SOCK,ACCESSORIES,1.0,1.0,0.0,4.0,2.33,-0.4175,1.0,1.0,0.0,31562.0,31286.0,-0.0087,31562.0,31286.0,-0.0087,8.0,7.0,-0.125
ALFA,5811A - COMB,5811 - COMB,ACCESSORIES,1.0,1.0,0.0,4.5,1.67,-0.6289,1.0,1.0,0.0,39900.0,39500.0,-0.01,39900.0,39500.0,-0.01,9.0,5.0,-0.4444
DISNEY,5811A - COMB,5811 - COMB,ACCESSORIES,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,34900.0,35200.0,0.0086,34900.0,35200.0,0.0086,1.0,1.0,0.0
FROZEN,5811A - COMB,5811 - COMB,ACCESSORIES,1.0,1.0,0.0,1.0,0.33,-0.67,1.0,1.0,0.0,22900.0,23500.0,0.0262,22900.0,23500.0,0.0262,2.0,1.0,-0.5
PRINCESS,5811A - COMB,5811 - COMB,ACCESSORIES,2.0,,,0.5,,,1.0,,,45800.0,,,45800.0,,,1.0,,
SANRIO,5811A - COMB,5811 - COMB,ACCESSORIES,1.0,,,2.0,,,1.0,,,37900.0,,,37900.0,,,4.0,,
TRENDY,5811A - COMB,5811 - COMB,ACCESSORIES,1.05,1.03,-0.019,32.5,13.0,-0.6,1.02,1.0,-0.0196,9223.0,8744.0,-0.0519,9407.0,8744.0,-0.0705,64.0,39.0,-0.3906
