BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
HEMAVITON,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.26,1.19,-0.0556,9.5,5.33,-0.4389,1.27,1.14,-0.1024,8163.0,8056.0,-0.0131,10367.0,9184.0,-0.1141,15.0,14.0,-0.0667
KRATING DAENG,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.0,1.26,0.26,7.0,6.33,-0.0957,1.08,1.0,-0.0741,6657.0,8426.0,0.2657,7190.0,8426.0,0.1719,13.0,19.0,0.4615
M-150,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.0,1.33,0.33,0.5,1.0,1.0,1.0,1.0,0.0,6500.0,8733.0,0.3435,6500.0,8733.0,0.3435,1.0,3.0,2.0
NEO HORMOVITON,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.08,1.07,-0.0093,6.0,4.67,-0.2217,1.0,1.0,0.0,7033.0,7136.0,0.0146,7033.0,7136.0,0.0146,12.0,14.0,0.1667
EXTRA JOSS,1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.67,1.17,-0.2994,4.5,2.0,-0.5556,1.29,1.0,-0.2248,14167.0,9917.0,-0.3,18275.0,9917.0,-0.4573,7.0,6.0,-0.1429
M-150,1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,8400.0,8500.0,0.0119,8400.0,8500.0,0.0119,1.0,1.0,0.0
RED BULL,1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.0,1.38,0.38,6.0,2.67,-0.555,1.71,1.6,-0.0643,10242.0,14425.0,0.4084,17514.0,23080.0,0.3178,7.0,5.0,-0.2857
A&W,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.17,1.0,-0.1453,3.0,2.0,-0.3333,1.2,1.2,0.0,7917.0,6883.0,-0.1306,9500.0,8260.0,-0.1305,5.0,5.0,0.0
COCA COLA,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.0,1.43,0.43,2.0,2.33,0.165,1.33,1.17,-0.1203,6650.0,9800.0,0.4737,8844.0,11466.0,0.2965,3.0,6.0,1.0
KOPI KENANGAN,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.5,1.5,0.0,3.0,1.33,-0.5567,1.0,1.0,0.0,10950.0,10950.0,0.0,10950.0,10950.0,0.0,6.0,4.0,-0.3333
AMO,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,,1.08,,,8.67,,,1.04,,,4862.0,,,5056.0,,,25.0,
BIG,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,,1.13,,,13.0,,,1.05,,,4108.0,,,4313.0,,,37.0,
COCA COLA,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.47,1.2,-0.1837,19.0,13.33,-0.2984,1.03,1.0,-0.0291,7732.0,6038.0,-0.2191,7964.0,6038.0,-0.2418,37.0,40.0,0.0811
FANTA,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.45,1.03,-0.2897,16.5,12.67,-0.2321,1.03,1.23,0.1942,7558.0,6213.0,-0.178,7785.0,7642.0,-0.0184,32.0,31.0,-0.0312
NIPIS MADU,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.27,1.58,0.2441,45.5,43.67,-0.0402,1.18,1.19,0.0085,5090.0,6491.0,0.2752,6006.0,7724.0,0.286,77.0,110.0,0.4286
PROMO MARKETING,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.07,,,230.0,,,2.28,,,6175.0,,,14079.0,,,202.0,,
SPRITE,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.16,1.35,0.1638,29.0,30.67,0.0576,1.09,1.11,0.0183,6017.0,7503.0,0.247,6559.0,8328.0,0.2697,53.0,83.0,0.566
TEBS,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.17,,,6.0,,,1.09,,,4550.0,,,4960.0,,,11.0,,
CHI FOREST,1112D - CARBONATED DRINK PET 425-500ML,1112 - CARBONATED DRINK,CHILLER,1.2,1.11,-0.075,12.5,18.67,0.4936,1.09,1.22,0.1193,11208.0,10298.0,-0.0812,12217.0,12564.0,0.0284,23.0,46.0,1.0
BIG,1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,,2.15,,,4.33,,,1.18,,,20415.0,,,24090.0,,,11.0,
COCA COLA,1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.02,1.26,0.2353,20.5,14.33,-0.301,1.11,1.05,-0.0541,12615.0,13198.0,0.0462,14003.0,13858.0,-0.0104,37.0,41.0,0.1081
FANTA,1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.09,1.31,0.2018,44.0,19.33,-0.5607,1.28,1.21,-0.0547,12609.0,14959.0,0.1864,16140.0,18100.0,0.1214,69.0,48.0,-0.3043
