CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.1,1.66,0.5091,132.0,228.33,0.7298,1.09,1.1,0.0092,67150.0,74889.0,0.1152,73194.0,82378.0,0.1255,242.0,625.0,1.5826,0.0059,0.0187,2.1695,11.0,464.0,233.0,195.0,0.0451,0.7041,0.9549,0.2959
2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.52,1.41,-0.0724,6164.5,3004.67,-0.5126,1.36,1.34,-0.0147,15578.0,15023.0,-0.0356,21186.0,20131.0,-0.0498,9057.0,6721.0,-0.2579,0.2767,0.2463,-0.1099,5175.0,3861.0,5348.0,3787.0,0.4918,0.5048,0.5082,0.4952
2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.34,1.26,-0.0597,4031.0,1795.33,-0.5546,1.33,1.29,-0.0301,12758.0,12351.0,-0.0319,16968.0,15933.0,-0.061,6052.0,4165.0,-0.3118,0.1809,0.1472,-0.1863,3212.0,1440.0,3688.0,3110.0,0.4655,0.3165,0.5345,0.6835
2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.18,1.15,-0.0254,1171.0,556.67,-0.5246,1.2,1.23,0.025,16747.0,16118.0,-0.0376,20096.0,19825.0,-0.0135,1952.0,1358.0,-0.3043,0.0526,0.0456,-0.1331,987.0,172.0,1126.0,1217.0,0.4671,0.1238,0.5329,0.8762
2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.08,1.11,0.0278,180.0,61.0,-0.6611,1.09,1.08,-0.0092,13646.0,14817.0,0.0858,14874.0,16002.0,0.0758,330.0,169.0,-0.4879,0.0081,0.005,-0.3827,114.0,18.0,228.0,151.0,0.3333,0.1065,0.6667,0.8935
2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.34,1.28,-0.0448,4602.0,2178.0,-0.5267,1.32,1.31,-0.0076,15759.0,14369.0,-0.0882,20802.0,18823.0,-0.0951,6971.0,4982.0,-0.2853,0.2065,0.1786,-0.1351,3796.0,1771.0,4098.0,3710.0,0.4809,0.3231,0.5191,0.6769
2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.42,1.63,0.1479,3451.5,1670.0,-0.5162,1.33,1.26,-0.0526,14577.0,16919.0,0.1607,19387.0,21318.0,0.0996,5175.0,3986.0,-0.2298,0.1549,0.1369,-0.1162,3831.0,2688.0,1867.0,1966.0,0.6723,0.5776,0.3277,0.4224
2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.59,1.42,-0.1069,3717.0,2119.0,-0.4299,1.3,1.34,0.0308,14829.0,13646.0,-0.0798,19278.0,18286.0,-0.0515,5718.0,4742.0,-0.1707,0.1668,0.1737,0.0414,2984.0,2052.0,3315.0,3248.0,0.4737,0.3872,0.5263,0.6128
2229 - SOFT CAKE,BISC & CONFECTIONARY,1.15,1.16,0.0087,450.5,200.0,-0.556,1.18,1.12,-0.0508,18330.0,20068.0,0.0948,21629.0,22476.0,0.0392,762.0,536.0,-0.2966,0.0202,0.0164,-0.1881,503.0,297.0,298.0,274.0,0.628,0.5201,0.372,0.4799
2301 - JELLY & PUDDING,BISC & CONFECTIONARY,1.25,1.11,-0.112,486.0,279.33,-0.4252,1.3,1.23,-0.0538,11555.0,10226.0,-0.115,15022.0,12578.0,-0.1627,746.0,682.0,-0.0858,0.0218,0.0229,0.0505,482.0,307.0,333.0,434.0,0.5914,0.4143,0.4086,0.5857
2312 - CHINESE PRESERVED FRUIT,BISC & CONFECTIONARY,1.0,,,0.5,,,1.0,,,34900.0,,,34900.0,,,1.0,,,0.0,,,1.0,,0.0,,1.0,,0.0,
2322 - CAN & BOTTLE CANDY,BISC & CONFECTIONARY,1.18,1.2,0.0169,57.0,26.33,-0.5381,1.04,1.05,0.0096,17521.0,19070.0,0.0884,18222.0,20024.0,0.0989,110.0,75.0,-0.3182,0.0026,0.0022,-0.1538,11.0,10.0,99.0,65.0,0.1,0.1333,0.9,0.8667
