CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
1111 - ENERGY DRINK,CHILLER,1.18,1.27,0.0763,34.0,21.33,-0.3726,1.26,1.16,-0.0794,8794.0,9352.0,0.0635,11080.0,10848.0,-0.0209,54.0,55.0,0.0185,0.0118,0.0109,-0.0763
1112 - CARBONATED DRINK,CHILLER,1.26,1.5,0.1905,598.5,201.33,-0.6636,1.96,1.27,-0.352,11629.0,10837.0,-0.0681,22793.0,13763.0,-0.3962,612.0,474.0,-0.2255,0.1338,0.0939,-0.2982
1113 - MINERAL WATER,CHILLER,2.13,1.69,-0.2066,1096.5,928.33,-0.1534,1.53,1.6,0.0458,8757.0,7268.0,-0.17,13398.0,11629.0,-0.132,1433.0,1744.0,0.217,0.3132,0.3455,0.1031
1114 - ISOTONIC DRINK,CHILLER,1.3,1.2,-0.0769,341.5,232.67,-0.3187,1.31,1.23,-0.0611,12324.0,11290.0,-0.0839,16144.0,13887.0,-0.1398,523.0,567.0,0.0841,0.1143,0.1123,-0.0175
1115 - REMEDIES DRINK,CHILLER,1.4,1.42,0.0143,237.5,192.33,-0.1902,1.24,1.26,0.0161,11244.0,11948.0,0.0626,13943.0,15054.0,0.0797,382.0,459.0,0.2016,0.0835,0.0909,0.0886
1116 - VITAMIN DRINK,CHILLER,1.45,1.62,0.1172,216.5,137.67,-0.3641,1.21,1.19,-0.0165,11258.0,12739.0,0.1316,13622.0,15159.0,0.1128,358.0,347.0,-0.0307,0.0783,0.0687,-0.1226
1117 - YOGHURT BEVERAGE,CHILLER,1.44,1.31,-0.0903,13.5,28.33,1.0985,1.17,1.1,-0.0598,14507.0,9328.0,-0.357,16973.0,10261.0,-0.3955,23.0,77.0,2.3478,0.005,0.0153,2.06
1118 - CARBONATED MALT,CHILLER,1.5,2.23,0.4867,20.0,18.67,-0.0665,1.33,1.12,-0.1579,12308.0,19261.0,0.5649,16370.0,21572.0,0.3178,30.0,50.0,0.6667,0.0066,0.0099,0.5
1121 - DESSERT,CHILLER,1.3,1.25,-0.0385,61.0,30.67,-0.4972,1.36,1.3,-0.0441,11646.0,10973.0,-0.0578,15839.0,14265.0,-0.0994,90.0,71.0,-0.2111,0.0197,0.0141,-0.2843
1151 - RTD JUICE,CHILLER,1.37,1.42,0.0365,794.5,206.0,-0.7407,2.04,1.27,-0.3775,11175.0,14454.0,0.2934,22797.0,18357.0,-0.1948,779.0,488.0,-0.3736,0.1703,0.0967,-0.4322
