PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
150008,PANDAN HIJAU BRS PND WANGI 10KG,1511 - RICE,-,1.07,,,20.5,,,1.46,,,165268.0,,,241291.0,,,28.0,,
62842,ETERNA SIKAT CUCI 414,4251 - CLEANING EQUIPMENT,-,1.0,1.0,0.0,5.5,3.0,-0.4545,1.0,1.0,0.0,9300.0,9300.0,0.0,9300.0,9300.0,0.0,11.0,9.0,-0.1818
405246,ATLAS SARUNG FAVORIT,5831 - RELIGIOUS NEEDS,-,,2.0,,,1.33,,,1.0,,,131350.0,,,131350.0,,,4.0,
451640,BUMIFOOD QUICKBITES ODENG 60G,6229 - CHILLED SEAFOOD,-,,1.23,,,121.33,,,1.16,,,10199.0,,,11831.0,,,314.0,
451641,BUMIFOOD QUICKBITES FISHTOFU60G,6229 - CHILLED SEAFOOD,-,,1.22,,,82.33,,,1.21,,,10128.0,,,12255.0,,,204.0,
451642,BUMIFOOD QUICKBITES CRAB STK50G,6229 - CHILLED SEAFOOD,-,,1.28,,,115.33,,,1.2,,,10664.0,,,12797.0,,,288.0,
445017,HEPPIII BAKSO SAPI 325G,6235 - FROZEN MEAT BALLS,-,1.0,1.19,0.19,7.5,7.0,-0.0667,1.0,1.17,0.17,36900.0,46157.0,0.2509,36900.0,54004.0,0.4635,15.0,18.0,0.2
228011,SO GOOD BAKSO KUAH SAPI 100G,6235 - FROZEN MEAT BALLS,-,1.04,,,22.5,,,1.12,,,21993.0,,,24632.0,,,40.0,,
411675,SUMBER SELERA BAKSO SBG 25S,6235 - FROZEN MEAT BALLS,-,1.03,1.25,0.2136,52.0,17.0,-0.6731,1.11,1.19,0.0721,37964.0,46306.0,0.2197,42140.0,55104.0,0.3076,94.0,43.0,-0.5426
417988,BELFOODS CHICKEN SAUSAGES 200G,6236 - FROZEN SAUSAGES,-,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,15500.0,15700.0,0.0129,15500.0,15700.0,0.0129,1.0,1.0,0.0
444382,BELFOODS CHICKEN COCKTAIL 400G,6236 - FROZEN SAUSAGES,-,1.0,1.0,0.0,9.5,2.67,-0.7189,1.06,1.0,-0.0566,52016.0,52088.0,0.0014,55137.0,52088.0,-0.0553,18.0,8.0,-0.5556
620130,BELFOODS RYL FRANKFURTER 200G,6236 - FROZEN SAUSAGES,-,1.0,,,0.5,,,1.0,,,34900.0,,,34900.0,,,1.0,,
437738,BENFARM CKN SAUSAGE 300G,6236 - FROZEN SAUSAGES,-,1.02,1.0,-0.0196,27.5,6.0,-0.7818,1.06,1.0,-0.0566,55924.0,54933.0,-0.0177,59279.0,54933.0,-0.0733,52.0,18.0,-0.6538
437739,BENFARM CKN CHEESE SAUSAGE 300G,6236 - FROZEN SAUSAGES,-,1.11,1.07,-0.036,14.0,9.0,-0.3571,1.04,1.29,0.2404,68546.0,66507.0,-0.0297,71288.0,85794.0,0.2035,27.0,21.0,-0.2222
459510,BENFARM NUGPRM CHICKEN STC 300G,6236 - FROZEN SAUSAGES,-,,1.1,,,13.0,,,1.0,,,43690.0,,,43690.0,,,39.0,
216895,CHAMP CHICKEN SAUSAGE 500G,6236 - FROZEN SAUSAGES,-,1.0,1.03,0.03,21.0,10.67,-0.4919,1.08,1.0,-0.0741,34143.0,33859.0,-0.0083,36874.0,33859.0,-0.0818,39.0,32.0,-0.1795
432450,KANZLER BEEF COCK SSG 250G,6236 - FROZEN SAUSAGES,-,1.03,1.04,0.0097,67.5,15.0,-0.7778,1.12,1.05,-0.0625,40101.0,40838.0,0.0184,44913.0,42880.0,-0.0453,120.0,43.0,-0.6417
405847,SO NICE SOSIS AYAM 375G,6236 - FROZEN SAUSAGES,-,1.02,1.0,-0.0196,29.0,10.0,-0.6552,1.12,1.03,-0.0804,22134.0,21643.0,-0.0222,24790.0,22292.0,-0.1008,52.0,29.0,-0.4423
444180,ACMIC USB TO MICRO USB,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.0,1.0,0.0,1.0,0.33,-0.67,1.0,1.0,0.0,19900.0,19900.0,0.0,19900.0,19900.0,0.0,2.0,1.0,-0.5
444181,ACMIC USB TO TYPE C,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.0,1.0,0.0,1.5,0.67,-0.5533,1.0,1.0,0.0,19900.0,19900.0,0.0,19900.0,19900.0,0.0,3.0,2.0,-0.3333
444182,ACMIC USB TO LIGHTNING,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,19900.0,19900.0,0.0,19900.0,19900.0,0.0,1.0,1.0,0.0
444938,ACMIC USB FAST CHARGER 10W,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.0,,,1.5,,,1.0,,,29900.0,,,29900.0,,,3.0,,
444942,ACMIC IN-EAR HEADSET JACK 3.5MM,4641 - ACCESSORIES TRAVEL,ACCESSORIES,,1.0,,,0.67,,,1.0,,,29900.0,,,29900.0,,,2.0,
128400,ALFAMART KAOS KAKI SEKOLAH ANK,5521 - BABIES & CHILDREN SOCK,ACCESSORIES,1.0,1.0,0.0,4.5,0.67,-0.8511,1.0,1.0,0.0,21122.0,20400.0,-0.0342,21122.0,20400.0,-0.0342,9.0,2.0,-0.7778
128401,ALFA KAOS KAKI SPORT,5523 - MENS SOCK,ACCESSORIES,1.0,1.04,0.04,12.0,8.33,-0.3058,1.0,1.04,0.04,18908.0,21104.0,0.1161,18908.0,21948.0,0.1608,24.0,24.0,0.0
128402,ALFA KAOS KAKI BISNIS,5523 - MENS SOCK,ACCESSORIES,,1.04,,,7.67,,,1.05,,,21017.0,,,22068.0,,,22.0,
128402,ALFAMART KAOS KAKI BISNIS,5523 - MENS SOCK,ACCESSORIES,1.06,,,9.0,,,1.0,,,19494.0,,,19494.0,,,18.0,,
550060,ALFA KAOS KAKI PENDEK AST,5523 - MENS SOCK,ACCESSORIES,1.06,1.0,-0.0566,8.0,3.67,-0.5412,1.0,1.0,0.0,20231.0,19455.0,-0.0384,20231.0,19455.0,-0.0384,16.0,11.0,-0.3125
417654,PRINGLE KAOS KAKI,5523 - MENS SOCK,ACCESSORIES,1.0,1.0,0.0,4.0,2.33,-0.4175,1.0,1.0,0.0,31562.0,31286.0,-0.0087,31562.0,31286.0,-0.0087,8.0,7.0,-0.125
