PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
466032,EXTRA JOSS ULTIMATE CAN 250ML,1111 - ENERGY DRINK,CHILLER,1.67,1.17,-0.2994,4.5,2.0,-0.5556,1.29,1.0,-0.2248,14167.0,9917.0,-0.3,18275.0,9917.0,-0.4573,7.0,6.0,-0.1429
137399,HEMAVITON ENERGY DRINK BTL150ML,1111 - ENERGY DRINK,CHILLER,1.26,1.19,-0.0556,9.5,5.33,-0.4389,1.27,1.14,-0.1024,8163.0,8056.0,-0.0131,10367.0,9184.0,-0.1141,15.0,14.0,-0.0667
6140,KRATINGDAENG BTL 150ML,1111 - ENERGY DRINK,CHILLER,1.0,1.29,0.29,6.5,5.67,-0.1277,1.08,1.0,-0.0741,6546.0,8453.0,0.2913,7070.0,8453.0,0.1956,12.0,17.0,0.4167
6157,KRATINGDAENG SUPER BTL 150ML,1111 - ENERGY DRINK,CHILLER,1.0,1.0,0.0,0.5,0.67,0.34,1.0,1.0,0.0,8100.0,8200.0,0.0123,8100.0,8200.0,0.0123,1.0,2.0,1.0
400060,M-150 ENERGY DRINK CAN 250ML,1111 - ENERGY DRINK,CHILLER,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,8400.0,8500.0,0.0119,8400.0,8500.0,0.0119,1.0,1.0,0.0
6139,M-150 ENERGY DRINK BTL 150ML,1111 - ENERGY DRINK,CHILLER,1.0,1.33,0.33,0.5,1.0,1.0,1.0,1.0,0.0,6500.0,8733.0,0.3435,6500.0,8733.0,0.3435,1.0,3.0,2.0
262620,NEO HORMOVITON PASAK BUMI 150ML,1111 - ENERGY DRINK,CHILLER,1.08,1.07,-0.0093,6.0,4.67,-0.2217,1.0,1.0,0.0,7033.0,7136.0,0.0146,7033.0,7136.0,0.0146,12.0,14.0,0.1667
112898,RED BULL ENERGY DRINK CAN 250ML,1111 - ENERGY DRINK,CHILLER,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,25000.0,26600.0,0.064,25000.0,26600.0,0.064,1.0,1.0,0.0
990146,RED BULL GOLD CAN 250ML,1111 - ENERGY DRINK,CHILLER,1.0,1.43,0.43,5.5,2.33,-0.5764,1.83,1.75,-0.0437,8900.0,12686.0,0.4254,16287.0,22200.0,0.3631,6.0,4.0,-0.3333
432876,A&W SARSAPARILA CAN 250ML,1112 - CARBONATED DRINK,CHILLER,1.17,1.0,-0.1453,3.0,2.0,-0.3333,1.2,1.2,0.0,7917.0,6883.0,-0.1306,9500.0,8260.0,-0.1305,5.0,5.0,0.0
459389,AMO SUSU SODA ORI PET 200ML,1112 - CARBONATED DRINK,CHILLER,,1.09,,,3.67,,,1.0,,,4909.0,,,4909.0,,,11.0,
459390,AMO SUSU SODA STR PET 200ML,1112 - CARBONATED DRINK,CHILLER,,1.0,,,5.33,,,1.07,,,4525.0,,,4842.0,,,15.0,
120555,BIG COLA PET 1L (F),1112 - CARBONATED DRINK,CHILLER,,1.0,,,0.33,,,1.0,,,9500.0,,,9500.0,,,1.0,
120556,BIG STRAWBERRY PET 1L (F),1112 - CARBONATED DRINK,CHILLER,,2.36,,,3.67,,,1.22,,,22400.0,,,27328.0,,,9.0,
448656,BIG RASA NIPIS MADU PET 350ML,1112 - CARBONATED DRINK,CHILLER,,1.13,,,13.0,,,1.05,,,4108.0,,,4313.0,,,37.0,
990027,BIG LEMON PET 1L (F),1112 - CARBONATED DRINK,CHILLER,,1.0,,,0.33,,,1.0,,,9500.0,,,9500.0,,,1.0,
435574,CHIFOREST SPRK PEACH PET 480ML,1112 - CARBONATED DRINK,CHILLER,1.12,1.0,-0.1071,4.0,4.67,0.1675,1.14,1.0,-0.1228,10550.0,9357.0,-0.1131,12027.0,9357.0,-0.222,7.0,14.0,1.0
435575,CHIFOREST SPRK LYCHEE PET480ML,1112 - CARBONATED DRINK,CHILLER,1.14,1.06,-0.0702,3.5,6.0,0.7143,1.0,1.12,0.12,10714.0,9761.0,-0.0889,10714.0,10932.0,0.0203,7.0,16.0,1.2857
443621,CHIFOREST SPRK GRAPE PET 480ML,1112 - CARBONATED DRINK,CHILLER,1.0,1.05,0.05,4.0,6.67,0.6675,1.0,1.11,0.11,9350.0,9770.0,0.0449,9350.0,10845.0,0.1599,8.0,18.0,1.25
466953,CHIFOREST SPRKBAMBOO GRPFR450ML,1112 - CARBONATED DRINK,CHILLER,1.25,1.14,-0.088,2.0,2.33,0.165,1.0,1.17,0.17,11500.0,10657.0,-0.0733,11500.0,12469.0,0.0843,4.0,6.0,0.5
109618,COCA COLA ZERO SUGAR CAN 250ML,1112 - CARBONATED DRINK,CHILLER,1.0,1.43,0.43,1.5,2.33,0.5533,1.5,1.17,-0.22,6800.0,9800.0,0.4412,10200.0,11466.0,0.1241,2.0,6.0,2.0
115701,COCA COLA PET 1L,1112 - CARBONATED DRINK,CHILLER,1.0,1.5,0.5,9.0,7.33,-0.1856,1.29,1.0,-0.2248,10300.0,15773.0,0.5314,13287.0,15773.0,0.1871,14.0,22.0,0.5714
436814,COCA COLA ZERO SUGAR PET 390ML,1112 - CARBONATED DRINK,CHILLER,1.33,1.0,-0.2481,6.0,3.33,-0.445,1.0,1.0,0.0,8000.0,6050.0,-0.2438,8000.0,6050.0,-0.2438,12.0,10.0,-0.1667
441517,COCA COLA ZERO PET 1L,1112 - CARBONATED DRINK,CHILLER,1.0,1.0,0.0,3.0,7.0,1.3333,1.0,1.11,0.11,10400.0,10500.0,0.0096,10400.0,11655.0,0.1207,6.0,19.0,2.1667
441892,CCDIBZR ALFAGIFTCRBNTD CAN250ML,1112 - CARBONATED DRINK,CHILLER,1.0,,,0.5,,,1.0,,,6200.0,,,6200.0,,,1.0,,
5937,COCA COLA PET 1.5L,1112 - CARBONATED DRINK,CHILLER,1.06,,,8.5,,,1.0,,,15847.0,,,15847.0,,,17.0,,
990090,COCA COLA PET 250ML,1112 - CARBONATED DRINK,CHILLER,1.21,1.33,0.0992,7.0,5.0,-0.2857,1.0,1.0,0.0,4307.0,4867.0,0.13,4307.0,4867.0,0.13,14.0,15.0,0.0714
990291,COCA COLA PET 390ML,1112 - CARBONATED DRINK,CHILLER,1.53,1.06,-0.3072,7.5,5.67,-0.244,1.07,1.0,-0.0654,9167.0,6353.0,-0.307,9809.0,6353.0,-0.3523,14.0,17.0,0.2143
115702,FANTA STROBERI PET 1L,1112 - CARBONATED DRINK,CHILLER,1.1,1.12,0.0182,26.0,14.0,-0.4615,1.18,1.17,-0.0085,11377.0,11824.0,0.0393,13425.0,13834.0,0.0305,44.0,36.0,-0.1818
404696,FANTA ORANGE PET 390ML,1112 - CARBONATED DRINK,CHILLER,4.0,,,0.5,,,1.0,,,24000.0,,,24000.0,,,1.0,,
413652,FANTA GRAPE PET 390ML,1112 - CARBONATED DRINK,CHILLER,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,6000.0,6117.0,0.0195,6000.0,6117.0,0.0195,4.0,6.0,0.5
442055,FANTA JERUK PET 1L,1112 - CARBONATED DRINK,CHILLER,1.0,1.13,0.13,7.0,5.0,-0.2857,1.0,1.15,0.15,10307.0,12013.0,0.1655,10307.0,13815.0,0.3404,14.0,13.0,-0.0714
465752,FANTA ZERO STRAWBERRY PET 390ML,1112 - CARBONATED DRINK,CHILLER,1.3,1.0,-0.2308,5.0,2.33,-0.534,1.0,1.0,0.0,7800.0,6100.0,-0.2179,7800.0,6100.0,-0.2179,10.0,7.0,-0.3
5940,FANTA STRAWBERRY PET 1.5L,1112 - CARBONATED DRINK,CHILLER,1.09,,,11.5,,,1.21,,,16248.0,,,19660.0,,,19.0,,
5940,FANTA STRAWBERRY PET 1.5L (F),1112 - CARBONATED DRINK,CHILLER,,12.0,,,0.33,,,1.0,,,190800.0,,,190800.0,,,1.0,
990092,FANTA STRAWBERRY PET 250ML,1112 - CARBONATED DRINK,CHILLER,1.5,,,5.0,,,1.0,,,5340.0,,,5340.0,,,10.0,,
990293,FANTA STRAWBERRY PET 390ML,1112 - CARBONATED DRINK,CHILLER,1.2,1.04,-0.1333,5.0,8.33,0.666,1.0,1.25,0.25,7000.0,6268.0,-0.1046,7000.0,7835.0,0.1193,10.0,20.0,1.0
465726,KENANGAN SPARKS PEACH CAN 250ML,1112 - CARBONATED DRINK,CHILLER,1.0,,,2.0,,,1.0,,,7300.0,,,7300.0,,,4.0,,
465727,KENANGAN SPARKS LYCHEE CAN250ML,1112 - CARBONATED DRINK,CHILLER,1.25,1.5,0.2,2.0,1.33,-0.335,1.0,1.0,0.0,9125.0,10950.0,0.2,9125.0,10950.0,0.2,4.0,4.0,0.0
438350,NIPIS MADU LIME SODA PET 330ML,1112 - CARBONATED DRINK,CHILLER,1.27,1.58,0.2441,45.5,43.67,-0.0402,1.18,1.19,0.0085,5090.0,6491.0,0.2752,6006.0,7724.0,0.286,77.0,110.0,0.4286
444499,CCDI BZR ALFAGIFT CARBNTD 1L,1112 - CARBONATED DRINK,CHILLER,1.0,,,8.5,,,1.21,,,10000.0,,,12100.0,,,14.0,,
892561,CCDI BZR ALFAGIFT WTRLYMN 425ML,1112 - CARBONATED DRINK,CHILLER,1.0,,,1.0,,,1.0,,,5000.0,,,5000.0,,,2.0,,
892564,CCDI BZR ALFAGIFT CARBNTD 390ML,1112 - CARBONATED DRINK,CHILLER,1.07,,,229.0,,,2.27,,,6180.0,,,14029.0,,,202.0,,
892567,CCDI BZR ALFAGIFT CARBNTD 1.5L,1112 - CARBONATED DRINK,CHILLER,1.05,,,182.5,,,2.27,,,15822.0,,,35916.0,,,161.0,,
115703,SPRITE LEMON PET 1L,1112 - CARBONATED DRINK,CHILLER,1.3,2.42,0.8615,22.0,18.33,-0.1668,1.1,1.25,0.1364,13052.0,25456.0,0.9504,14357.0,31820.0,1.2163,40.0,44.0,0.1
416388,SPRITE WATERLYMON PET 425ML,1112 - CARBONATED DRINK,CHILLER,1.09,1.22,0.1193,5.5,3.0,-0.4545,1.1,1.29,0.1727,5055.0,6289.0,0.2441,5560.0,8113.0,0.4592,10.0,7.0,-0.3
438541,SPRITE ZERO SUGAR PET 390ML,1112 - CARBONATED DRINK,CHILLER,1.1,1.06,-0.0364,10.0,6.0,-0.4,1.05,1.0,-0.0476,6600.0,6367.0,-0.0353,6930.0,6367.0,-0.0812,19.0,18.0,-0.0526
441518,SPRITE ZERO LEMON PET 1L,1112 - CARBONATED DRINK,CHILLER,1.0,1.11,0.11,2.0,11.67,4.835,1.0,1.13,0.13,10450.0,11709.0,0.1205,10450.0,13231.0,0.2661,4.0,31.0,6.75
5945,SPRITE PET 1.5L,1112 - CARBONATED DRINK,CHILLER,1.4,,,25.0,,,1.04,,,21244.0,,,22094.0,,,48.0,,
990091,SPRITE PET 250ML,1112 - CARBONATED DRINK,CHILLER,1.08,1.31,0.213,6.5,5.33,-0.18,1.08,1.0,-0.0741,3800.0,4788.0,0.26,4104.0,4788.0,0.1667,12.0,16.0,0.3333
990292,SPRITE PET 390ML,1112 - CARBONATED DRINK,CHILLER,1.19,1.38,0.1597,8.0,17.67,1.2088,1.0,1.04,0.04,7000.0,8349.0,0.1927,7000.0,8683.0,0.2404,16.0,51.0,2.1875
445392,TEBS ZERO SPARK LYCHEE PET300ML,1112 - CARBONATED DRINK,CHILLER,1.17,,,6.0,,,1.09,,,4550.0,,,4960.0,,,11.0,,
447620,ALFA AIR CLAIRINE8+ PET 450ML,1113 - MINERAL WATER,CHILLER,1.39,1.21,-0.1295,14.0,11.0,-0.2143,1.17,1.03,-0.1197,6439.0,5164.0,-0.198,7534.0,5319.0,-0.294,24.0,32.0,0.3333
432228,ALFA AIR MNRL DISNEY PET 330ML,1113 - MINERAL WATER,CHILLER,5.95,1.26,-0.7882,9.5,10.33,0.0874,1.0,1.24,0.24,11589.0,3084.0,-0.7339,11589.0,3824.0,-0.67,19.0,25.0,0.3158
438877,ALFAMART AIR MNRL PET 600ML,1113 - MINERAL WATER,CHILLER,2.9,1.2,-0.5862,80.5,33.67,-0.5817,1.18,2.15,0.822,6679.0,2614.0,-0.6086,7881.0,5620.0,-0.2869,136.0,47.0,-0.6544
