SECTION,CATEGORY,SUBCATEGORY,BRAND,SEGMENT_VALUE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_BEFORE,SPB_AFTER,SPB_BEFORE,SPT_AFTER,SPT_BEFORE,BUYER_COUNT_GROWTH,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_GROWTH,SPT_GROWTH,SPB_GROWTH,SEGMENT_TYPE,VERSI
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,ALFAMART,CAN,1.21,1.03,32.67,43.0,92.0,76.0,1.07,1.13,39614.0,36031.0,37022.0,31886.0,0.2105,0.1748,-0.2402,-0.0531,0.1611,0.0994,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,ARNOTT'S,OTHERS,1.5,,0.67,,2.0,,1.0,,56100.0,,56100.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,ASTOR,OTHERS,1.21,,9.67,,28.0,,1.04,,48539.0,,46672.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,CHOCOLATOS,OTHERS,1.0,,2.0,,5.0,,1.2,,53000.0,,44167.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,DELBIS,OTHERS,1.14,,2.33,,7.0,,1.0,,35486.0,,35486.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,GERY,OTHERS,1.18,,13.33,,40.0,,1.0,,40198.0,,40198.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,GIZZI,OTHERS,3.92,,4.0,,12.0,,1.0,,100267.0,,100267.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,GOOD TIME,OTHERS,2.6,,3.33,,10.0,,1.0,,68780.0,,68780.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,HOCK GUAN,OTHERS,1.0,,1.67,,4.0,,1.25,,117375.0,,93900.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,IMPERIAL,OTHERS,3.2,,1.67,,5.0,,1.0,,77280.0,,77280.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,KHONG GUAN,CAN,1.09,1.06,39.67,45.0,113.0,83.0,1.05,1.08,105768.0,101642.0,100731.0,94113.0,0.3614,0.0283,-0.1184,-0.0278,0.0703,0.0406,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,KHONG GUAN,OTHERS,1.11,1.0,12.67,0.5,36.0,1.0,1.06,1.0,44419.0,36500.0,41905.0,36500.0,35.0,0.11,24.34,0.06,0.1481,0.217,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,MONDE,CAN,1.3,1.0,18.67,24.5,55.0,49.0,1.02,1.0,105032.0,79716.0,102973.0,79716.0,0.1224,0.3,-0.238,0.02,0.2917,0.3176,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,MONDE,OTHERS,1.62,,14.0,,36.0,,1.17,,148245.0,,126705.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,NABATI,OTHERS,1.23,,4.33,,12.0,,1.08,,36961.0,,34223.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,NEXTAR,OTHERS,1.07,,4.67,,13.0,,1.08,,26915.0,,24921.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,NISSIN,CAN,1.19,1.02,14.33,20.0,43.0,37.0,1.0,1.08,61165.0,57454.0,61165.0,53198.0,0.1622,0.1667,-0.2835,-0.0741,0.1498,0.0646,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,NISSIN,OTHERS,1.97,,13.0,,36.0,,1.08,,89897.0,,83238.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,REGAL,OTHERS,1.0,,2.0,,6.0,,1.0,,61300.0,,61300.0,,,,,,,,Packtype,V1
