SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.1,1.66,0.5091,132.0,228.33,0.7298,1.09,1.1,0.0092,67150.0,74889.0,0.1152,73194.0,82378.0,0.1255,242.0,625.0,1.5826
2222A - COOKIES BISCUIT 15-30G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.2,,,83.67,,,1.14,,,7278.0,,,8297.0,,,220.0,
2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.49,1.41,-0.0537,1698.5,932.67,-0.4509,1.21,1.2,-0.0083,15184.0,15425.0,0.0159,18373.0,18510.0,0.0075,2811.0,2336.0,-0.169
2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.29,1.2,-0.0698,2170.5,1108.33,-0.4894,1.24,1.21,-0.0242,13509.0,12616.0,-0.0661,16751.0,15265.0,-0.0887,3494.0,2744.0,-0.2147
2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.16,1.14,-0.0172,1130.5,466.33,-0.5875,1.21,1.16,-0.0413,13486.0,14107.0,0.046,16318.0,16364.0,0.0028,1874.0,1202.0,-0.3586
2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.11,1.1,-0.009,704.0,281.67,-0.5999,1.2,1.13,-0.0583,14874.0,14671.0,-0.0136,17849.0,16578.0,-0.0712,1175.0,745.0,-0.366
2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,2.06,1.93,-0.0631,946.5,330.0,-0.6513,1.22,1.22,0.0,16065.0,16518.0,0.0282,19599.0,20152.0,0.0282,1553.0,810.0,-0.4784
2223A - CRACKER BISCUIT 10-30G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.53,1.37,-0.1046,117.0,76.33,-0.3476,1.11,1.12,0.009,5768.0,5162.0,-0.1051,6402.0,5781.0,-0.097,211.0,205.0,-0.0284
2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.25,1.16,-0.072,1555.5,600.0,-0.6143,1.22,1.2,-0.0164,10795.0,10060.0,-0.0681,13170.0,12072.0,-0.0834,2560.0,1499.0,-0.4145
2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.24,1.22,-0.0161,1530.0,700.0,-0.5425,1.24,1.19,-0.0403,10917.0,10745.0,-0.0158,13537.0,12787.0,-0.0554,2474.0,1762.0,-0.2878
2223D - CRACKER BISCUIT 200-260G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.15,1.12,-0.0261,983.5,388.67,-0.6048,1.22,1.18,-0.0328,13382.0,13544.0,0.0121,16326.0,15982.0,-0.0211,1615.0,987.0,-0.3889
2223E - CRACKER BISCUIT 300-400G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.16,1.19,0.0259,200.0,144.33,-0.2783,1.23,1.21,-0.0163,20485.0,20503.0,0.0009,25197.0,24809.0,-0.0154,324.0,359.0,0.108
2224A - MARIE BISCUIT 30-85G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,,1.08,,,16.0,,,1.02,,,13733.0,,,14008.0,,,47.0,
2224B - MARIE BISCUIT 100-190G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.18,1.14,-0.0339,939.0,448.0,-0.5229,1.18,1.22,0.0339,13068.0,12863.0,-0.0157,15420.0,15693.0,0.0177,1596.0,1101.0,-0.3102
2224C - MARIE BISCUIT 200-250G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.16,1.14,-0.0172,243.5,100.0,-0.5893,1.15,1.15,0.0,30147.0,29901.0,-0.0082,34669.0,34386.0,-0.0082,422.0,260.0,-0.3839
2225A - PIE BISCUIT 32-110G,2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.07,1.11,0.0374,101.0,36.0,-0.6436,1.1,1.09,-0.0091,14396.0,15575.0,0.0819,15836.0,16977.0,0.0721,184.0,99.0,-0.462
2225B - PIE BISCUIT 150-200G,2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.04,1.05,0.0096,82.5,26.33,-0.6808,1.08,1.07,-0.0093,12148.0,13032.0,0.0728,13120.0,13944.0,0.0628,153.0,74.0,-0.5163
2226A - SANDWICH BISCUIT 10-49G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.19,1.08,-0.0924,104.0,68.67,-0.3397,1.13,1.14,0.0088,10238.0,9743.0,-0.0483,11569.0,11107.0,-0.0399,184.0,181.0,-0.0163
2226B - SANDWICH BISCUIT 50-99G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.26,1.28,0.0159,1009.5,536.33,-0.4687,1.17,1.2,0.0256,11573.0,12187.0,0.0531,13540.0,14624.0,0.0801,1724.0,1343.0,-0.221
2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.25,1.22,-0.024,2815.5,1390.0,-0.5063,1.26,1.24,-0.0159,13322.0,13381.0,0.0044,16786.0,16592.0,-0.0116,4454.0,3351.0,-0.2476
2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.17,1.14,-0.0256,882.0,294.67,-0.6659,1.17,1.12,-0.0427,18784.0,18087.0,-0.0371,21977.0,20257.0,-0.0783,1503.0,787.0,-0.4764
